State,Year,Daytrip_Trips_Thousands
Australian Capital Territory,2019,1738.616
Australian Capital Territory,2020,1575.6765
Australian Capital Territory,2021,1555.958
Australian Capital Territory,2022,1633.5685
Australian Capital Territory,2023,1868.172
Australian Capital Territory,2024,1888.8585
Australian Capital Territory,2025,1986.6905
New South Wales,2019,69209.735
New South Wales,2020,63282.5595
New South Wales,2021,61143.048
New South Wales,2022,65316.94975
New South Wales,2023,76131.4295
New South Wales,2024,77220.7105
New South Wales,2025,80339.3675
Northern Territory,2019,551.309
Northern Territory,2020,623.4635000000001
Northern Territory,2021,751.30525
Northern Territory,2022,764.05675
Northern Territory,2023,810.3225
Northern Territory,2024,843.0925
Northern Territory,2025,978.1865
Queensland,2019,40721.932
Queensland,2020,38780.993
Queensland,2021,41194.0835
Queensland,2022,43819.475
Queensland,2023,46742.859
Queensland,2024,47382.525
Queensland,2025,50667.8455
South Australia,2019,12620.687000000002
South Australia,2020,12368.06275
South Australia,2021,13288.32275
South Australia,2022,14080.869750000002
South Australia,2023,14928.38225
South Australia,2024,15119.37875
South Australia,2025,15745.6715
Tasmania,2019,3973.046
Tasmania,2020,3939.69425
Tasmania,2021,4679.08025
Tasmania,2022,5073.2545
Tasmania,2023,5314.3075
Tasmania,2024,5261.6795
Tasmania,2025,5130.735500000001
Victoria,2019,66467.65299999999
Victoria,2020,57524.995
Victoria,2021,54913.38925000001
Victoria,2022,65026.62375
Victoria,2023,72548.8385
Victoria,2024,74819.4135
Victoria,2025,79710.8285
Western Australia,2019,22012.827
Western Australia,2020,21580.563
Western Australia,2021,23407.8695
Western Australia,2022,24551.5885
Western Australia,2023,25623.03275
Western Australia,2024,26274.69225
Western Australia,2025,27442.668
