State,Year,Daytrip_Trips_Thousands,Spending_Million_Dollars,Spending_Per_Trip,Trips_2019,Spending_2019,Trips_Index,Spending_Index
Australian Capital Territory,2019,1738.616,243.477,140.04069903877567,1738.616,243.477,100.0,100.0
Australian Capital Territory,2020,1575.6765,216.10899999999998,137.15315294732133,1738.616,243.477,90.62820657350444,88.75951321890773
Australian Capital Territory,2021,1555.958,207.2475,133.19607598662688,1738.616,243.477,89.49405734216181,85.1199497283111
Australian Capital Territory,2022,1633.5685,338.952,207.49175807442418,1738.616,243.477,93.9579815209339,139.21314949666703
Australian Capital Territory,2023,1868.172,533.74325,285.7034844757335,1738.616,243.477,107.45167420522992,219.217112910049
Australian Capital Territory,2024,1888.8585,359.4875,190.31997367722357,1738.616,243.477,108.6414999056721,147.6474163884063
Australian Capital Territory,2025,1986.6905,355.70349999999996,179.0432379880006,1738.616,243.477,114.2685043735937,146.09326548298193
New South Wales,2019,69209.735,7578.264,109.49708158830546,69209.735,7578.264,100.0,100.0
New South Wales,2020,63282.5595,6690.1587500000005,105.71883948530876,69209.735,7578.264,91.43592227307329,88.28088794478525
New South Wales,2021,61143.048,6761.5380000000005,110.58555667686046,69209.735,7578.264,88.3445775366717,89.22278242088161
New South Wales,2022,65316.94975,8507.48875,130.2493270515897,69209.735,7578.264,94.37537905614,112.2617099377905
New South Wales,2023,76131.4295,11236.59675,147.5947164501883,69209.735,7578.264,110.00104176096035,148.27402093672112
New South Wales,2024,77220.7105,12316.85175,159.5019220912245,69209.735,7578.264,111.57492583955133,162.52867081431842
New South Wales,2025,80339.3675,12466.7925,155.17663242743353,69209.735,7578.264,116.08102169441914,164.50723411060898
Northern Territory,2019,551.309,66.533,120.68186806310072,551.309,66.533,100.0,100.0
Northern Territory,2020,623.4635000000001,76.502,122.70485762197785,551.309,66.533,113.08785091482274,114.98354200171343
Northern Territory,2021,751.30525,105.95,141.02124269729248,551.309,66.533,136.27661619890117,159.24428479100595
Northern Territory,2022,764.05675,101.9335,133.41090174257343,551.309,66.533,138.58956592400995,153.2074308989524
Northern Territory,2023,810.3225,122.068,150.64125703037988,551.309,66.533,146.98154755318706,183.46985706341215
Northern Territory,2024,843.0925,196.29175,232.82350394529664,551.309,66.533,152.92558256803355,295.02915846271776
Northern Territory,2025,978.1865,208.108,212.7487958584585,551.309,66.533,177.42980796613153,312.7891422301715
Queensland,2019,40721.932,4508.148,110.70565119552775,40721.932,4508.148,100.0,100.0
Queensland,2020,38780.993,4315.13775,111.26939813016133,40721.932,4508.148,95.2336765357793,95.71863545739846
Queensland,2021,41194.0835,4499.217500000001,109.2199927205566,40721.932,4508.148,101.15945260161034,99.8019031318404
Queensland,2022,43819.475,5851.586,133.53847803973005,40721.932,4508.148,107.60657181000155,129.80021951364506
Queensland,2023,46742.859,7312.96275,156.45090836228053,40721.932,4508.148,114.7854649921816,162.21656320954855
Queensland,2024,47382.525,7042.7625,148.63628521274458,40721.932,4508.148,116.35627946139688,156.22296561692295
Queensland,2025,50667.8455,7881.663500000001,155.55552880179206,40721.932,4508.148,124.42397256593819,174.83151617914942
South Australia,2019,12620.687000000002,1221.886,96.81612419355616,12620.687000000002,1221.886,100.0,100.0
South Australia,2020,12368.06275,1203.68925,97.32237572937605,12620.687000000002,1221.886,97.99833202423923,98.51076532507942
South Australia,2021,13288.32275,1496.753,112.63671331282197,12620.687000000002,1221.886,105.29001115390943,122.49530643611597
South Australia,2022,14080.869750000002,1813.03025,128.75839931691718,12620.687000000002,1221.886,111.5697564641291,148.37965653096933
South Australia,2023,14928.38225,2198.14975,147.24634680358616,12620.687000000002,1221.886,118.28502085504536,179.89810424213061
South Australia,2024,15119.37875,2220.4865,146.86360707777098,12620.687000000002,1221.886,119.79838141933159,181.7261593962121
South Australia,2025,15745.6715,2278.1655,144.68519173666235,12620.687000000002,1221.886,124.7608113567827,186.44664886904343
Tasmania,2019,3973.046,420.197,105.76192674336014,3973.046,420.197,100.0,100.0
Tasmania,2020,3939.69425,454.39549999999997,115.33775749222163,3973.046,420.197,99.16054961357106,108.1386825703182
Tasmania,2021,4679.08025,552.05275,117.9831762876903,3973.046,420.197,117.7706034614248,131.37950770709926
Tasmania,2022,5073.2545,672.0235,132.46398342523523,3973.046,420.197,127.69181378720509,159.9305801802488
Tasmania,2023,5314.3075,691.64325,130.1473898527701,3973.046,420.197,133.75902267429072,164.5997591605842
Tasmania,2024,5261.6795,731.82425,139.08567597095185,3973.046,420.197,132.43439668204195,174.16217869237525
Tasmania,2025,5130.735500000001,736.5174999999999,143.55008165983216,3973.046,420.197,129.13858787439162,175.2790952814989
Victoria,2019,66467.65299999999,6544.201,98.45692911708498,66467.65299999999,6544.201,100.0,100.0
Victoria,2020,57524.995,5645.220499999999,98.13508892960354,66467.65299999999,6544.201,86.54584960296403,86.26294485759223
Victoria,2021,54913.38925000001,5580.59025,101.6253108070542,66467.65299999999,6544.201,82.61671169583799,85.27534912207007
Victoria,2022,65026.62375,8486.80375,130.51275401638856,66467.65299999999,6544.201,97.83198415325423,129.6843380880263
Victoria,2023,72548.8385,10491.29875,144.61015457883587,66467.65299999999,6544.201,109.14909015969016,160.3144333433524
Victoria,2024,74819.4135,10958.155,146.46138598774235,66467.65299999999,6544.201,112.56515029949983,167.44832562447274
Victoria,2025,79710.8285,11428.502,143.37452282283078,66467.65299999999,6544.201,119.92424119443486,174.63555902393585
Western Australia,2019,22012.827,2492.531,113.23084490692631,22012.827,2492.531,100.0,100.0
Western Australia,2020,21580.563,2651.892,122.88335573080276,22012.827,2492.531,98.03630855773316,106.3935413441197
Western Australia,2021,23407.8695,2828.44725,120.83317749186871,22012.827,2492.531,106.33740727622127,113.47691362715248
Western Australia,2022,24551.5885,3213.88575,130.90337311575584,22012.827,2492.531,111.53310067807283,128.94065309518717
Western Australia,2023,25623.03275,4081.474,159.2892628996074,22012.827,2492.531,116.40046392042238,163.74817404477616
Western Australia,2024,26274.69225,4909.2605,186.84369176579034,22012.827,2492.531,119.36082653082222,196.9588542730261
Western Australia,2025,27442.668,4518.755,164.66165024479398,22012.827,2492.531,124.66671363927951,181.29182746373064
